ラナ ピリカ,らなぴりか,0590905,北海道白老郡白老町 大町2-1-4,0144-61-1733,白老駅,白老駅から直線距離で491m,海抜5m,カフェ,42.55176849,141.35557583,https://r.gnavi.co.jp/j7x387xk0000/
株式会社Ｙほーむ,わいほーむ,0590905,北海道白老郡白老町大町２丁目１−４,0144-61-1733,白老駅,白老駅から直線距離で478m,海抜5m,カフェ,42.551879,141.35566159,
coffee＆whisky kaiser,こーひーあんどういすきーかいざー,0590905,北海道白老郡白老町 大町3-2-41,0144-82-2300,白老駅,白老駅から直線距離で280m,海抜5m,カフェ,42.55239383,141.35884499,https://r.gnavi.co.jp/et51sm2b0000/
喫茶休養林,きっさきゅうようりん,0590905,北海道白老郡白老町 大町2-3-10,0144-82-3003,白老駅,白老駅から直線距離で144m,海抜5m,喫茶店・軽食,42.55351852,141.35953357,https://r.gnavi.co.jp/nn35p5kh0000/
ホームキッチンカフェ 宝竜,ほーむきっちんかふぇほうりゅう,0590905,北海道白老郡白老町 大町2-3-11,0144-82-4532,白老駅,白老駅から直線距離で131m,海抜5m,カフェ,42.55361573,141.35966417,https://r.gnavi.co.jp/b4vcgaf80000/
株式会社しらおい菓子工房まいこ,しらおいかしこうぼうまいこ,0590921,北海道白老郡白老町字石山１７−１８３,0144-83-5346,萩野駅,萩野駅から直線距離で1409m,海抜4m,カフェ,42.52878065,141.32021351,
陶ｃａｆｅ　輪果,とうかふぇりんか,0590921,北海道白老郡白老町字石山４０−３０６,0144-83-5661,萩野駅,萩野駅から直線距離で2296m,海抜5m,カフェ,42.54216472,141.30740829,
Calendula,かれんじゅら,0590921,北海道白老郡白老町 石山45-3,0144-84-1531,萩野駅,萩野駅から直線距離で1360m,海抜8m,カフェ,42.53366019,141.30405181,https://r.gnavi.co.jp/6u758kap0000/
お茶の間カフェ 華,おちゃのまかふぇはな,0590922,北海道白老郡白老町 萩野281-50,0144-83-2411,萩野駅,萩野駅から直線距離で491m,海抜6m,喫茶店・軽食,42.52369747,141.30096117,https://r.gnavi.co.jp/r5t5nnzn0000/
はしもと珈琲館,はしもとこーひーかん,0590900,北海道白老郡白老町 竹浦118-31,0144-87-2597,虎杖浜駅,虎杖浜駅から直線距離で2159m,海抜2m,喫茶店・軽食,42.47640841,141.23605484,https://r.gnavi.co.jp/et114ces0000/
Smile Kitchen,すまいるきっちん,0590641,北海道白老郡白老町 虎杖浜393-12 ナチュラルファクトリー北海道1F,0144-84-5813,虎杖浜駅,虎杖浜駅から直線距離で1221m,海抜6m,カフェ,42.46447853,141.20024221,https://r.gnavi.co.jp/pbnzts730000/
蒸留カフェ,じょうりゅうかふぇ,0590641,北海道白老郡白老町字虎杖浜３９３−１２,0144-84-1272,虎杖浜駅,虎杖浜駅から直線距離で1360m,海抜8m,カフェ,42.46352913,141.19862291,
アズハウス,あずはうす,0880301,北海道白糠郡白糠町 東一条南1-1-35,01547-2-3833,白糠駅,白糠駅から直線距離で240m,海抜3m,喫茶店・軽食,42.95548517,144.07403906,https://r.gnavi.co.jp/4v5g5s640000/
アヤ,あや,0880302,北海道白糠郡白糠町 東二条南2-2-13,01547-2-2552,白糠駅,白糠駅から直線距離で254m,海抜2m,喫茶店・軽食,42.95472447,144.07937214,https://r.gnavi.co.jp/3wtbwc6h0000/
フラミンゴカフェ,ふらみんごかふぇ,0681100,北海道石狩郡新篠津村 第46線北14,0126-35-1184,上幌向駅,上幌向駅から直線距離で7355m,海抜9m,カフェ,43.22516623,141.64689609,https://r.gnavi.co.jp/f5ve20dt0000/
小柳食品,こやなぎしょくひん,0810008,北海道上川郡新得町本通南３丁目２７,0156-64-6344,新得駅,新得駅から直線距離で329m,海抜183m,"甘味処
お好み焼き",43.0799974,142.83460814,
カフェ・アンフィーユ 一葉,かふぇあんふぃーゆいちよう,0810008,北海道上川郡新得町 本通南4-5,0156-67-9518,新得駅,新得駅から直線距離で461m,海抜183m,カフェ,43.07869477,142.83467694,https://r.gnavi.co.jp/auup1nzh0000/
小柳食品,おやなぎしよくひん,0810008,北海道上川郡新得町本通南３丁目２７−１,0156-64-6344,新得駅,新得駅から直線距離で322m,海抜183m,"甘味処
お好み焼き",43.08006679,142.83459703,
おさんぽカフェ,おさんぽかふぇ,0810008,北海道上川郡新得町 本通南1-17-5,0156-64-6463,新得駅,新得駅から直線距離で71m,海抜184m,カフェ,43.08216599,142.8332273,https://r.gnavi.co.jp/28f6e3ce0000/
共働学舎 新得農場,きょうどうがくしゃしんとくのうじょう,0810038,北海道上川郡新得町 字新得9-1,0156-69-5600,新得駅,新得駅から直線距離で1381m,海抜226m,喫茶店・軽食,43.08547877,142.81603957,https://r.gnavi.co.jp/5g761zvg0000/
共働学舎新得農場ミンタル,きょうどうがくしゃしんとくのうじょうみんたる,0810038,北海道上川郡新得町 新得9-1 共働学舎新得農場,0156-69-5600,新得駅,新得駅から直線距離で1381m,海抜226m,喫茶店・軽食,43.08547877,142.81603957,https://r.gnavi.co.jp/j5ese9e70000/
アトリエ・ロカル,あとりえろかる,0731103,北海道樺戸郡新十津川町 字中央7-11,0125-74-5058,滝川駅,滝川駅から直線距離で2234m,海抜30m,カフェ,43.5484387,141.87471708,https://r.gnavi.co.jp/s0ue65j70000/
nice,にーす,0731103,北海道樺戸郡新十津川町 中央73-31,0125-76-4655,滝川駅,滝川駅から直線距離で1835m,海抜29m,カフェ,43.55777632,141.87827708,https://r.gnavi.co.jp/c5e1d75c0000/
あすこっと,あすこっと,0560019,北海道日高郡新ひだか町静内青柳町１丁目２−１７,0146-42-8286,,,海抜4m,"カフェ
喫茶店",42.33636579,142.36837931,
喫茶いるか,きっさいるか,0560019,北海道日高郡新ひだか町 静内青柳町1-2-17,0146-42-8286,,,海抜4m,喫茶店・軽食,42.33629314,142.36833273,https://r.gnavi.co.jp/2c6e681t0000/
焼きカレーダイニング フリージア,やきかれーだいにいんぐふりーじあ,0560019,北海道日高郡新ひだか町 静内青柳町4-14-5,0146-42-7670,,,海抜4m,喫茶店・軽食,42.33773481,142.37428767,https://r.gnavi.co.jp/sbm2w49n0000/
フリージア,ふりーじあ,0560019,北海道日高郡新ひだか町静内青柳町４丁目１４−５,0146-42-7670,,,海抜4m,"カフェ
喫茶店
カレー",42.33775752,142.37432879,
喫茶我夢,きっさがむ,0560016,北海道日高郡新ひだか町 静内本町3-1-10,0146-43-3853,,,海抜4m,カフェ,42.33750383,142.36215836,https://r.gnavi.co.jp/2twm7gxg0000/
syzygy cafe,しじじーかふぇ,0560024,北海道日高郡新ひだか町 静内山手町3-8-9,0146-49-0528,,,海抜10m,カフェ,42.34639397,142.35920796,https://r.gnavi.co.jp/8uwr1wg30000/
ビアンモール 砂川市立病院,びあんもーるすながわいちりつびょういん,0730196,北海道砂川市 西4条北3-1-1 砂川市立病院内 2F,0125-54-1151,砂川駅,砂川駅から直線距離で410m,海抜22m,カフェ,43.49450298,141.9046321,https://r.gnavi.co.jp/c7y8ujax0000/
祭り舘,まつりかん,0730163,北海道砂川市 西三条北2-1-11,0125-54-2948,砂川駅,砂川駅から直線距離で319m,海抜21m,喫茶店・軽食,43.4936033,141.9053849,https://r.gnavi.co.jp/r2xeee8h0000/
ポワレ,ぽわれ,0730162,北海道砂川市 西二条北2-2-18,0125-54-0455,砂川駅,砂川駅から直線距離で244m,海抜22m,喫茶店・軽食,43.49351161,141.90630989,https://r.gnavi.co.jp/h839j67p0000/
あまとうみに,あまとうみに,0730161,北海道砂川市 西一条北3-1-2,0125-52-2429,砂川駅,砂川駅から直線距離で191m,海抜23m,喫茶店・軽食,43.49368113,141.90709598,https://r.gnavi.co.jp/9v2mzupu0000/
カフェ くるみる,かふぇくるみる,0730161,北海道砂川市 西一条北1-1-34,0125-52-5022,砂川駅,砂川駅から直線距離で251m,海抜24m,カフェ,43.49159525,141.90675152,https://r.gnavi.co.jp/7vaf0zhb0000/
くるみる,くるみる,0730161,北海道砂川市西１条北１丁目１−３４,0125-52-5022,砂川駅,砂川駅から直線距離で246m,海抜25m,"カフェ
喫茶店",43.49163017,141.90679244,
曽我茶舗,そがちゃほ,0730161,北海道砂川市西１条北１丁目１−１,0125-52-2036,砂川駅,砂川駅から直線距離で277m,海抜25m,,43.49129691,141.90666467,
ＥＳＰＲＥＳＳＯ・ＳＴＡＮＤ・ＰＬＡＴＳ,えすぷれっそすたんどぷらっつ,0730151,北海道砂川市東１条北２丁目１−１,0125-54-0111,砂川駅,砂川駅から直線距離で155m,海抜23m,"カフェ
コーヒー専門店
喫茶店",43.49203295,141.90778402,
プチ パーラートマト,ぷちぱーらーとまと,0730151,北海道砂川市 東一条北5-1-6,0125-54-0488,砂川駅,砂川駅から直線距離で363m,海抜24m,喫茶店・軽食,43.49620022,141.90873983,https://r.gnavi.co.jp/pep1t4h10000/
CAFFE PARADISO,かふぇぱらでぃっそ,0730141,北海道砂川市 西一条南3-1-3,0125-52-2215,砂川駅,砂川駅から直線距離で510m,海抜28m,カフェ,43.48900117,141.90601857,https://r.gnavi.co.jp/823t7ugr0000/
カフェポレポレ,かふぇぽれぽれ,0730135,北海道砂川市 東5条南4,0125-74-4330,砂川駅,砂川駅から直線距離で745m,海抜33m,カフェ,43.48628208,141.91021547,https://r.gnavi.co.jp/gxttyd6e0000/
Life,らいふ,0730131,北海道砂川市 東1条南7-1-1,0125-54-2326,砂川駅,砂川駅から直線距離で1053m,海抜32m,カフェ,43.48395454,141.90511616,https://r.gnavi.co.jp/nt1h2x8d0000/
ほんだ,ほんだ,0730161,北海道砂川市 西一条北11,0125-52-6321,砂川駅,砂川駅から直線距離で1215m,海抜24m,甘味処,43.50387892,141.90950192,https://r.gnavi.co.jp/9nshpu0c0000/
は〜もに〜,はーもにー,0730156,北海道砂川市 東6条北11-40,0125-55-2225,砂川駅,砂川駅から直線距離で1204m,海抜26m,喫茶店・軽食,43.50246915,141.91633014,https://r.gnavi.co.jp/b2dfvsyf0000/
Cake＆Cafe 笑飛巣,けーきあんどかふぇえびす,0730137,北海道砂川市 東7条南8-1-10,0125-74-5868,砂川駅,砂川駅から直線距離で1339m,海抜36m,カフェ,43.48095247,141.91074086,https://r.gnavi.co.jp/9mhn26p80000/
カフェ ピノキオ,かふぇぴのきお,0730115,北海道砂川市 焼山264-1,0125-52-3678,砂川駅,砂川駅から直線距離で2102m,海抜65m,カフェ,43.49249929,141.93520683,https://r.gnavi.co.jp/cwg70s1r0000/
北菓楼 砂川本店,きたかろうすながわほんてん,0730197,北海道砂川市 西一条北19-2-1,0125-53-1515,砂川駅,砂川駅から直線距離で2772m,海抜30m,喫茶店・軽食,43.51763919,141.91418771,https://r.gnavi.co.jp/80psex1m0000/
ファーマーズカフェ空の森,ふぁーまーずかふぇそらのもり,0730108,北海道砂川市 北光336-7 砂川ハイウェイオアシス館1F,0125-56-2777,砂川駅,砂川駅から直線距離で3659m,海抜50m,カフェ,43.52219217,141.93003558,https://r.gnavi.co.jp/70ra8bb10000/
たまごcafe,たまごかふぇ,0520106,北海道有珠郡壮瞥町 字立香92-12,0142-66-3345,長和駅,長和駅から直線距離で8581m,海抜96m,カフェ,42.54522339,140.904197,https://r.gnavi.co.jp/p5ubgb5v0000/
Cafe Mt．USU,かふぇまうんとうす,0520102,北海道有珠郡壮瞥町 字昭和新山184-5,0142-75-2401,長和駅,長和駅から直線距離で6048m,海抜182m,カフェ,42.53899175,140.86027408,https://r.gnavi.co.jp/55kwardw0000/
ほのぼの村,ほのぼのむら,0520115,北海道有珠郡壮瞥町 弁景196-12,0142-65-2510,,,海抜205m,カフェ,42.56522143,140.98196823,https://r.gnavi.co.jp/2nhmv4dp0000/
農家カフェ・ほのぼの村,のうかかふぇほのぼのむら,0520115,北海道有珠郡壮瞥町字弁景１９６−１２,0142-65-2510,,,海抜204m,カフェ,42.56526258,140.98199521,
珈琲工場,こーひーこうじょう,0892152,北海道広尾郡大樹町西本通８２−２,01558-6-3225,,,海抜77m,コーヒー専門店,42.48933038,143.27192763,
ギャラリー 陶,ぎゃらりーとう,0892112,北海道広尾郡大樹町 萠和485-6,01558-6-3975,,,海抜79m,喫茶店・軽食,42.50969611,143.29373267,https://r.gnavi.co.jp/4ac2yb9v0000/
コーヒー＆ランチ ひだまり,こーひーあんどらんちひだまり,0711224,北海道上川郡鷹栖町 北野東四条1-2-9,0166-87-2173,近文駅,近文駅から直線距離で3851m,海抜108m,コーヒー,43.82391441,142.33136413,https://r.gnavi.co.jp/2fyhs0fh0000/
山恵,さんけい,0711253,北海道上川郡鷹栖町 13線16,0166-87-4229,比布駅,比布駅から直線距離で7857m,海抜123m,カフェ,43.87899308,142.37367496,https://r.gnavi.co.jp/nh5y0fcc0000/
ピーベリー,ぴーべりー,0730022,北海道滝川市 大町1-5-28,0125-22-1065,滝川駅,滝川駅から直線距離で963m,海抜28m,コーヒー,43.55680887,141.91244846,https://r.gnavi.co.jp/gy08cn4n0000/
ステラ フラテロ,すてらふらてろ,0730022,北海道滝川市 大町2-1-10,0125-23-5033,滝川駅,滝川駅から直線距離で867m,海抜28m,カフェ,43.55960818,141.90962925,https://r.gnavi.co.jp/p3b7fnd70000/
なかむらや,なかむらや,0730022,北海道滝川市大町３丁目１−１１,0125-23-5207,滝川駅,滝川駅から直線距離で985m,海抜28m,甘味処,43.56083025,141.91019887,
ルビアン,るびあん,0730021,北海道滝川市 本町3-1-18,0125-24-6621,滝川駅,滝川駅から直線距離で939m,海抜28m,喫茶店・軽食,43.56100536,141.90924872,https://r.gnavi.co.jp/6khw6ba00000/
ルーモス（Ｌｕｍｏｓ）,るーもす,0730031,北海道滝川市栄町４丁目４−２１,0125-74-6040,滝川駅,滝川駅から直線距離で462m,海抜27m,"フランス料理
カフェ",43.55858312,141.90416067,
COFFEE HOUSE Seika,こーひーはうすせいか,0730031,北海道滝川市 栄町4-7-3,0125-24-2034,滝川駅,滝川駅から直線距離で268m,海抜26m,喫茶店・軽食,43.55722201,141.90265525,https://r.gnavi.co.jp/4c4b1mfe0000/
N＆N,えぬあんどえぬ,0730023,北海道滝川市 緑町1-6-7,0125-74-7468,滝川駅,滝川駅から直線距離で1427m,海抜29m,カフェ,43.55587038,141.91836202,https://r.gnavi.co.jp/ej1nzdp60000/
喫茶 マーメイド,きっさまーめいど,0730033,北海道滝川市 新町2-5-30,0125-23-0502,滝川駅,滝川駅から直線距離で1176m,海抜29m,喫茶店・軽食,43.55192058,141.91453213,https://r.gnavi.co.jp/h283rrs30000/
杜夢,とむ,0730036,北海道滝川市 花月町3-6-1,0125-24-2398,滝川駅,滝川駅から直線距離で643m,海抜26m,喫茶店・軽食,43.55074818,141.90569195,https://r.gnavi.co.jp/dek1492z0000/
ドリーム,どりーむ,0730024,北海道滝川市 東町1-2-25,0125-24-5603,滝川駅,滝川駅から直線距離で1621m,海抜29m,喫茶店・軽食,43.55485683,141.92077282,https://r.gnavi.co.jp/mgsyk3u10000/
檸檬喫茶,れもんきっさ,0730044,北海道滝川市 西町6-6-22,0125-22-2974,滝川駅,滝川駅から直線距離で1253m,海抜29m,喫茶店・軽食,43.56590956,141.89560517,https://r.gnavi.co.jp/1vzz4uga0000/
あかげら,あかげら,0730024,北海道滝川市 東町5-144-2,0125-22-0011,滝川駅,滝川駅から直線距離で2416m,海抜30m,喫茶店・軽食,43.55985661,141.92994105,https://r.gnavi.co.jp/pk9t8fz80000/
ゆきんこ,ゆきんこ,0730015,北海道滝川市 朝日町東3-16-24,0125-24-3769,滝川駅,滝川駅から直線距離で2423m,海抜44m,カフェ,43.56782171,141.92523535,https://r.gnavi.co.jp/6zvr7g340000/
カフェテリア リリエンタール,かふぇてりありりえんたーる,0730035,北海道滝川市 中島町139-4 たきかわスカイパーク ハブハウス,0125-24-3255,滝川駅,滝川駅から直線距離で982m,海抜25m,喫茶店・軽食,43.54697316,141.89651209,https://r.gnavi.co.jp/abk1cxn80000/
喫茶マリン,きつさまりん,0730042,北海道滝川市泉町１丁目１３−３７,0125-24-5948,滝川駅,滝川駅から直線距離で2073m,海抜31m,喫茶店,43.57270038,141.89159984,
珈琲焙煎 ウェカラパ,こーひーばいせんうぇからぱ,0730001,北海道滝川市 北滝の川1195,0125-23-4000,滝川駅,滝川駅から直線距離で4274m,海抜53m,コーヒー,43.58604735,141.93244137,https://r.gnavi.co.jp/rf5b5m830000/
ギャラリー陶居＆cafe オルノ,ぎゃらりーとうきょあんどかふぇおるの,0790461,北海道滝川市 江部乙町832-1,0125-75-6568,江部乙駅,江部乙駅から直線距離で1317m,海抜45m,カフェ,43.61785758,141.94499321,https://r.gnavi.co.jp/1xx1v6jj0000/
山猫屋,やまねこや,0790461,北海道滝川市 江部乙町2408-1,0125-75-6280,江部乙駅,江部乙駅から直線距離で5496m,海抜106m,カフェ,43.64449005,141.99999081,https://r.gnavi.co.jp/j4t67nn60000/
シュシュ,しゅしゅ,0520024,北海道伊達市 鹿島町58-19,0142-22-1805,伊達紋別駅,伊達紋別駅から直線距離で731m,海抜5m,カフェ,42.47257024,140.86392016,https://r.gnavi.co.jp/afgzbrga0000/
ぶどうの木,ぶどうのき,0520024,北海道伊達市 鹿島町7-19,0142-23-5222,伊達紋別駅,伊達紋別駅から直線距離で890m,海抜6m,カフェ,42.47172607,140.86652294,https://r.gnavi.co.jp/59ua4hpd0000/
ミルク,みるく,0520026,北海道伊達市錦町１００−１２８,0142-25-1607,伊達紋別駅,伊達紋別駅から直線距離で459m,海抜2m,喫茶店,42.46863435,140.86172034,
喫茶ミルク,きっさみるく,0520026,北海道伊達市 錦町100-128,0142-25-1607,伊達紋別駅,伊達紋別駅から直線距離で457m,海抜2m,喫茶店・軽食,42.46858467,140.86168442,https://r.gnavi.co.jp/66d0tw3a0000/
ドトールコーヒーショップ伊達店,どとーるこーひーしょっぷだててん,,北海道伊達市梅本町３９-３０,0142-21-2626,伊達紋別駅,伊達紋別駅から直線距離で1265m,海抜9m,ドトールコーヒー,42.47220702,140.87107747,
食工房チロル,しょくこうぼうちろる,0520032,北海道伊達市山下町１０−５,0142-25-3910,伊達紋別駅,伊達紋別駅から直線距離で139m,海抜2m,喫茶店,42.46934254,140.85790675,
パル,ぱる,0520032,北海道伊達市 山下町161,0142-25-5144,伊達紋別駅,伊達紋別駅から直線距離で260m,海抜3m,喫茶店・軽食,42.47155233,140.85701257,https://r.gnavi.co.jp/dyr251sg0000/
茶寮鼎,さりょうかなえ,0520022,北海道伊達市 梅本町23-77,0142-23-1400,伊達紋別駅,伊達紋別駅から直線距離で1618m,海抜13m,喫茶店・軽食,42.47595364,140.87371063,https://r.gnavi.co.jp/mw61rzkc0000/
ロッタガーデン,ろったがーでん,0520013,北海道伊達市 弄月町55-32,0142-22-9696,北舟岡駅,北舟岡駅から直線距離で1156m,海抜22m,カフェ,42.46054511,140.88388011,https://r.gnavi.co.jp/11n2wacn0000/
ダイニングカフェあつみ,だいにんぐかふぇあつみ,0520035,北海道伊達市 長和町403-11,0142-22-0456,長和駅,長和駅から直線距離で287m,海抜5m,カフェ,42.4898984,140.8363896,https://r.gnavi.co.jp/73hw411c0000/
ロッジやすらぎ,ろっじやすらぎ,0520003,北海道伊達市 幌美内町36-1 障害者施設〔太陽の園〕,0142-22-1366,北舟岡駅,北舟岡駅から直線距離で3626m,海抜148m,喫茶店・軽食,42.47512745,140.9091625,https://r.gnavi.co.jp/fbun0y4z0000/
珈琲舎北こがね,こーひーしゃきたこがね,0590272,北海道伊達市北黄金町４９−１７３０,0142-82-3747,黄金駅(北海道),黄金駅から直線距離で2006m,海抜41m,"カフェ
喫茶店",42.40380502,140.91556353,
フラット喫茶,ふらっときっさ,0782102,北海道雨竜郡秩父別町２条２,0164-33-2978,秩父別駅,秩父別駅から直線距離で920m,海抜45m,喫茶店,43.76531517,141.95720104,
餅菓子と喫茶日日,もちがしときっさにちにち,0782100,北海道雨竜郡秩父別町 秩父別町1546-7,0164-34-7412,秩父別駅,秩父別駅から直線距離で646m,海抜45m,カフェ,43.76627768,141.96034887,https://r.gnavi.co.jp/cp0t0fue0000/
東亜珈琲館本店,とうあこーひーかんほんてん,0660041,北海道千歳市 清水町4-19,0123-24-9699,千歳駅(北海道),千歳駅から直線距離で567m,海抜14m,喫茶店・軽食,42.82356938,141.64913003,https://r.gnavi.co.jp/8senmj5m0000/
Doremo Nostalgic Modern LeTAO Cafemot LeTAO,どれものすたるじっくもだんるたおかふぇもるたお,0660043,北海道千歳市 朝日町6-1-1,0123-23-1566,千歳駅(北海道),千歳駅から直線距離で876m,海抜13m,カフェ,42.8208325,141.65561201,https://r.gnavi.co.jp/43zd2e790000/
秋桜,こすもす,0660064,北海道千歳市 錦町1-39,0123-24-0082,千歳駅(北海道),千歳駅から直線距離で933m,海抜14m,喫茶店・軽食,42.82078206,141.6466602,https://r.gnavi.co.jp/hmz2wnfh0000/
紫園,しえん,0660064,北海道千歳市錦町１丁目１９−１,0123-23-2836,千歳駅(北海道),千歳駅から直線距離で971m,海抜14m,喫茶店,42.8205976,141.64615497,
CREPE＆CAFE Virtue,くれーぷあんどかふぇゔぁーちゅ,0660063,北海道千歳市 幸町4-26-1 ALPHARESORTBLDG1F,0123-26-9955,千歳駅(北海道),千歳駅から直線距離で526m,海抜15m,クレープ,42.82452343,141.64792924,https://r.gnavi.co.jp/9my7r5v00000/
北のアトリエカフェ,きたのあとりえかふぇ,0660062,北海道千歳市 千代田町4-12-1 もりもと 千歳本店内,0123-23-4181,千歳駅(北海道),千歳駅から直線距離で515m,海抜15m,カフェ,42.82498432,141.64743203,https://r.gnavi.co.jp/k745tjsz0000/
Cafe wave,かふぇうぇーぶ,0660062,北海道千歳市 千代田町1-1-11,0123-31-6783,千歳駅(北海道),千歳駅から直線距離で827m,海抜15m,カフェ,42.8229207,141.64484349,https://r.gnavi.co.jp/rthrjktn0000/
ＮＡＭＡＫＥＭＯＮＯＣＡＦＥ,なまけものかふぇ,0660061,北海道千歳市栄町３丁目４−２,0123-31-3309,千歳駅(北海道),千歳駅から直線距離で561m,海抜15m,カフェ,42.82556639,141.64610467,
ALL TONES CAFE,おーるとーんずかふぇ,0660061,北海道千歳市 栄町4-8,0123-23-2623,千歳駅(北海道),千歳駅から直線距離で464m,海抜14m,カフェ,42.82630929,141.64688762,https://r.gnavi.co.jp/6wkngwj30000/
珈琲館 イオン千歳店,こーひーかんいおんちとせてん,0660061,北海道千歳市 栄町6-51 イオン千歳1F,0123-23-5488,千歳駅(北海道),千歳駅から直線距離で326m,海抜14m,喫茶店・軽食,42.82879507,141.64800947,https://r.gnavi.co.jp/363cahtm0000/
shou shou la vie,しゅしゅらび,0660074,北海道千歳市 緑町3-2-11,0123-27-3180,千歳駅(北海道),千歳駅から直線距離で1322m,海抜17m,カフェ,42.8222761,141.63792775,https://r.gnavi.co.jp/p9xte0dg0000/
ペンギンベーカリーカフェ　千歳店,ぺんぎんべーかりーかふぇちとせてん,0660015,北海道千歳市青葉４丁目１２−１６,0123-49-3335,千歳駅(北海道),千歳駅から直線距離で743m,海抜11m,カフェ,42.82911925,141.6609281,
コーヒーサロン あおき,こーひーさろんあおき,0660036,北海道千歳市 北栄2-28-1,0123-22-7368,千歳駅(北海道),千歳駅から直線距離で937m,海抜23m,喫茶店・軽食,42.83118883,141.6411851,https://r.gnavi.co.jp/px6av18m0000/
オープンセサミ,おーぷんせさみ,0660036,北海道千歳市 北栄2-15-15,0123-27-5855,千歳駅(北海道),千歳駅から直線距離で800m,海抜21m,カフェ,42.8324541,141.64399095,https://r.gnavi.co.jp/b6mvhytx0000/
あおき,あおき,0660036,北海道千歳市北栄２丁目２８−１,0123-22-7368,千歳駅(北海道),千歳駅から直線距離で935m,海抜23m,喫茶店,42.83122945,141.64122978,
カフェテラス風樹荘,かふぇてらすふうきそう,0660066,北海道千歳市 大和2-4-13,0123-26-3084,千歳駅(北海道),千歳駅から直線距離で2041m,海抜15m,カフェ,42.81876495,141.63054257,https://r.gnavi.co.jp/5pzpymm30000/
田中家,たなかや,0660026,北海道千歳市 住吉1-12-4,0123-42-3388,千歳駅(北海道),千歳駅から直線距離で1079m,海抜10m,甘味処,42.83575576,141.66027986,https://r.gnavi.co.jp/68sgrg9k0000/
田中製餡株式会社　たい焼店田中家,たなかせいあんたいやきてんたなかや,0660026,北海道千歳市住吉１丁目１２−４,0123-42-3388,千歳駅(北海道),千歳駅から直線距離で1085m,海抜10m,甘味処,42.83579342,141.66032505,
喫茶　東郊,きっさとうこう,0660021,北海道千歳市東郊２丁目８−１８,0123-23-5862,千歳駅(北海道),千歳駅から直線距離で1301m,海抜10m,喫茶店,42.83414099,141.66566076,
Cafe REST,かふぇれすと,0660026,北海道千歳市 住吉4-3-11 ペットサロンワンニャン2F,0123-22-0257,千歳駅(北海道),千歳駅から直線距離で1433m,海抜10m,カフェ,42.83241782,141.66849594,https://r.gnavi.co.jp/h7cnhz3x0000/
じんや,じんや,0660022,北海道千歳市 豊里5-8-12,0123-22-2722,千歳駅(北海道),千歳駅から直線距離で1763m,海抜11m,カフェ,42.8321929,141.6727984,https://r.gnavi.co.jp/38kwn9gd0000/
ティニーガーデン,てぃにーがーでん,0660025,北海道千歳市 梅ヶ丘1-3-5,0123-22-1512,千歳駅(北海道),千歳駅から直線距離で1941m,海抜13m,カフェ,42.82988237,141.67554842,https://r.gnavi.co.jp/kx4c7rmd0000/
Cafe Leaf,かふぇりーふ,0660067,北海道千歳市 桂木1-5-6 千歳病院1F,0123-40-2220,千歳駅(北海道),千歳駅から直線距離で2466m,海抜19m,カフェ,42.81970623,141.62407931,https://r.gnavi.co.jp/cbee5u1r0000/
ふぅ庵,ふぅあん,0660034,北海道千歳市 富丘4-26-2,0123-25-9247,千歳駅(北海道),千歳駅から直線距離で1612m,海抜20m,カフェ,42.8398515,141.64008998,https://r.gnavi.co.jp/gngmtt7s0000/
フィールアットイーズカフェ,ふぃーるあっといーずかふぇ,0660038,北海道千歳市 信濃1-12-7,0123-49-2636,千歳駅(北海道),千歳駅から直線距離で1902m,海抜28m,カフェ,42.83474332,141.63040794,https://r.gnavi.co.jp/rz7edz270000/
タリーズコーヒー千歳アウトレットモール店,たりーずこーひーちとせあうとれっともーるてん,,北海道千歳市柏台南１-２-１,0123-40-6033,南千歳駅,南千歳駅から直線距離で333m,海抜18m,タリーズコーヒー,42.81115659,141.67527856,
スターバックスコーヒー千歳信濃店,すたーばっくすこーひーちとせしなのてん,,北海道千歳市信濃３-１７-１１,0123-21-8330,長都駅,長都駅から直線距離で1758m,海抜23m,スターバックスコーヒー,42.8389101,141.63473601,
コメダ珈琲店千歳北信濃店,こめだこーひーてんちとせきたしなのてん,,北海道千歳市北信濃８６７-１,0123-21-9740,長都駅,長都駅から直線距離で908m,海抜31m,コメダ珈琲店,42.84423888,141.62012703,
ダンデライオン,だんでらいおん,0660078,北海道千歳市 勇舞6-7-2,0123-22-3185,長都駅,長都駅から直線距離で926m,海抜17m,カフェ,42.85652664,141.63258391,https://r.gnavi.co.jp/jxsj6fv70000/
ファーストホッカイドウ,ふぁーすとほっかいどう,0660012,北海道千歳市美々９８７−２２,0123-46-2210,新千歳空港駅,新千歳空港駅から直線距離で248m,海抜23m,甘味処,42.78728047,141.67796795,
駅舎カフェ ホロカ,えきしゃかふぇほろか,0920361,北海道網走郡津別町 字相生83-1 津別町道の駅 あいおい物産館,0152-75-9101,,,海抜260m,喫茶店・軽食,43.54546823,143.98019841,https://r.gnavi.co.jp/90vd55760000/
ＢＡＫＥＲＹＣＡＦＥＳＵＮＬＩＧＨＴＦＡＲＭ,べーかりーかふぇさんらいとふぁーむ,0851206,北海道阿寒郡鶴居村鶴居東３丁目１１−１,0154-64-9263,,,海抜37m,甘味処,43.23485773,144.32466946,
